"Date & Time","Date","Speed mph","excessSpeed","trainId","Speed Limit","Local Time","Location"
"2024-11-02T09:10:47.658-04:00[America/New_York]",2024-11-02,39.6343500576972,-10.3656499423028,1091886,"Operating Within Limits","04:14 AM","East Palestine, OH"
"2024-11-03T05:29:48.655-05:00[America/New_York]",2024-11-03,48.7838229034011,-1.2161770965989,1093290,"Operating Within Limits","00:33 AM","East Palestine, OH"
"2024-11-04T03:44:45.1-05:00[America/New_York]",2024-11-04,38.0928685599597,-11.9071314400403,1094816,"Operating Within Limits","22:48 PM","East Palestine, OH"
"2024-11-04T09:24:25.492-05:00[America/New_York]",2024-11-04,35.0767605599885,-14.9232394400115,1095182,"Operating Within Limits","04:28 AM","East Palestine, OH"
"2024-11-04T14:45:49.124-05:00[America/New_York]",2024-11-04,53.4799483047165,3.4799483047165,1095608,"Minor Violations","09:49 AM","East Palestine, OH"
"2024-11-05T09:15:52.428-05:00[America/New_York]",2024-11-05,59.9276786243843,9.9276786243843,1096990,"Minor Violations","04:19 AM","East Palestine, OH"
"2024-11-05T23:58:58.508-05:00[America/New_York]",2024-11-05,56.673700513948,6.673700513948,1098160,"Minor Violations","19:02 PM","East Palestine, OH"
"2024-11-07T06:30:11.248-05:00[America/New_York]",2024-11-07,44.3071519174807,-5.6928480825193,1100571,"Operating Within Limits","01:34 AM","East Palestine, OH"
"2024-11-08T04:41:17.272-05:00[America/New_York]",2024-11-08,51.0419999410881,1.0419999410881,1102392,"Minor Violations","23:45 PM","East Palestine, OH"
"2024-11-09T05:36:59.875-05:00[America/New_York]",2024-11-09,44.9398404478887,-5.0601595521113,1104262,"Operating Within Limits","00:40 AM","East Palestine, OH"
"2024-11-09T10:22:48.469-05:00[America/New_York]",2024-11-09,40.004737004084,-9.995262995916,1104527,"Operating Within Limits","05:26 AM","East Palestine, OH"
"2024-11-09T18:46:21.156-05:00[America/New_York]",2024-11-09,51.3704307233717,1.3704307233717,1105133,"Minor Violations","13:50 PM","East Palestine, OH"
"2024-11-10T02:44:56.918-05:00[America/New_York]",2024-11-10,37.6568682103508,-12.3431317896492,1105650,"Operating Within Limits","21:48 PM","East Palestine, OH"
"2024-11-10T19:37:11.109-05:00[America/New_York]",2024-11-10,47.0203919799476,-2.9796080200524,1106575,"Operating Within Limits","14:41 PM","East Palestine, OH"
"2024-11-11T02:03:59.384-05:00[America/New_York]",2024-11-11,39.4858713344686,-10.5141286655314,1107171,"Operating Within Limits","21:07 PM","East Palestine, OH"
"2024-11-11T10:08:23.621-05:00[America/New_York]",2024-11-11,42.9600230360545,-7.0399769639455,1107668,"Operating Within Limits","05:12 AM","East Palestine, OH"
"2024-11-11T20:32:22.841-05:00[America/New_York]",2024-11-11,43.2031363040873,-6.7968636959127,1108503,"Operating Within Limits","15:36 PM","East Palestine, OH"
"2024-11-12T00:34:12.91-05:00[America/New_York]",2024-11-12,60.603175975028,10.603175975028,1108783,"Severe Violations of Safety Codes","19:38 PM","East Palestine, OH"
"2024-11-12T02:03:39.169-05:00[America/New_York]",2024-11-12,47.5265907113407,-2.4734092886593,1108848,"Operating Within Limits","21:07 PM","East Palestine, OH"
"2024-11-12T06:38:01.874-05:00[America/New_York]",2024-11-12,61.0112776397768,11.0112776397768,1109130,"Severe Violations of Safety Codes","01:41 AM","East Palestine, OH"
"2024-11-12T08:44:33.141-05:00[America/New_York]",2024-11-12,45.2092626254653,-4.7907373745347,1109246,"Operating Within Limits","03:48 AM","East Palestine, OH"
"2024-11-13T08:11:03.702-05:00[America/New_York]",2024-11-13,59.9864224171472,9.9864224171472,1111020,"Minor Violations","03:15 AM","East Palestine, OH"
"2024-11-13T10:35:43.647-05:00[America/New_York]",2024-11-13,52.3609528528192,2.3609528528192,1111205,"Minor Violations","05:39 AM","East Palestine, OH"
"2024-11-14T09:05:18.432-05:00[America/New_York]",2024-11-14,48.843033242028,-1.156966757972,1112986,"Operating Within Limits","04:09 AM","East Palestine, OH"
"2024-11-15T09:19:10.389-05:00[America/New_York]",2024-11-15,37.2526568572669,-12.7473431427331,1114824,"Operating Within Limits","04:23 AM","East Palestine, OH"
